33,33,33,33,33,34,35,35,35,35,103,124,117,123,122,132,140,176,186,186,212,195,368,180,134,149,128,134,224,132,130,115,153,433,179,149,146,487,107
553,106,161,176,139,116,139,147,139,152,194,183,184,215,130,185,140,205,205,205,186,186,178,178,168,168,298,298,298,298,152,156,156,156,156,153,153,195,139
195,195,195,204,225,225,225,225,225,225,225,225,225,225,147,147,147,147,147,147,147,147,144,144,144,144,144,144,144,144,144,144,144,144,144,144,139,139,139
139,139,139,173,173,173,173,173,173,173,173,173,173,147,147,147,147,147,147,147,121,121,121,121,144,144,144,148,148,148,148,148,148,148,148,148,148,148,138
138,138,138,138,138,138,115,130,130,130,130,130,130,130,144,144,144,144,144,144,144,144,144,144,107,160,160,160,160,160,160,160,160,176,176,176,176,176,176
176,176,176,260,359,359,359,359,359,359,359,359,359,359,275,65,65,96,96,96,102,102,102,134,134,134,134,134,134,139,139,139,139,139,139,139,139,139,139
134,134,134,134,134,134,134,134,134,134,128,128,112,112,112,112,102,91,85,86,86,86,86,107,121,220,220,220,220,220,220,220,220,220,220,90,90,115,115
115,115,115,115,115,115,115,133,133,133,133,133,133,133,133,177,421,584,584,584,584,584,584,584,584,584,584,507,396,161,10,13,64,136,145,145,155,155,155
133,133,133,108,108,108,112,119,119,119,119,119,119,119,119,119,119,117,117,117,117,117,139,422,547,547,547,547,547,547,547,547,547,547,529,337,249,89,68
87,87,97,97,97,97,97,97,97,97,97,97,107,107,107,107,107,107,167,247,515,529,529,529,529,529,529,529,529,529,529,507,309,92,37,60,72,75,97
150,170,170,170,170,170,170,170,170,170,170,147,147,147,147,147,135,112,112,112,112,112,112,91,93,114,114,114,114,114,114,114,114,114,114,114,97,97,97
97,97,99,99,99,99,99,99,99,99,99,99,84,84,84,84,84,75,75,73,73,77,77,77,77,77,77,77,77,77,77,77,75,75,82,104,104,104,104
103,84,84,84,84,84,84,92,104,104,104,202,529,571,571,571,571,571,571,571,571,571,571,477,343,225,70,22,37,57,64,84,91,91,98,135,145,178,178
178,178,178,178,162,113,113,103,103,103,103,87,90,99,99,99,99,99,99,99,99,99,99,85,97,97,97,97,97,97,97,97,97,97,71,71,88,88,88
74,87,87,87,87,87,88,93,93,93,93,93,93,93,96,96,96,96,96,96,96,96,96,96,74,74,74,74,74,74,68,68,68,71,75,89,89,89,89
89,89,89,89,89,89,71,71,71,71,71,71,84,85,250,468,515,515,515,515,515,515,515,515,515,515,488,323,162,42,9,48,64,64,96,140,140,140,140
121,121,121,121,121,121,121,121,121,106,106,96,96,96,96,96,96,96,96,96,85,85,105,105,105,105,105,105,105,105,105,105,105,99,99,99,99,99,97
106,106,106,106,106,88,88,88,88,88,88,88,88,88,88,88,88,88,85,85,85,116,232,457,491,491,491,491,491,491,491,491,491,491,471,265,97,18,49
118,118,132,132,132,132,132,132,132,132,132,132,101,101,101,129,129,129,129,129,129,129,129,129,129,129,104,86,86,86,86,86,91,91,91,91,91,91,91
71,71,71,90,90,90,90,90,90,90,90,90,90,76,76,76,76,76,76,76,76,76,76,76,76,76,85,85,85,102,102,102,102,102,102,102,102,102,102
98,98,98,98,98,98,98,98,100,100,209,368,439,439,439,439,439,439,439,439,439,439,407,272,153,53,39,40,40,54,67,104,117,117,120,120,130,130,137
137,137,137,137,137,114,114,114,114,114,114,114,114,75,67,68,68,87,87,87,87,87,87,87,87,87,87,69,69,69,69,69,69,81,81,81,81,81,81
89,89,89,89,89,74,74,76,76,76,89,90,90,90,90,90,90,90,90,90,97,97,104,104,104,104,104,104,104,104,104,104,82,82,82,82,82,82,83
85,85,85,85,85,85,85,85,85,72,72,72,97,149,337,436,436,436,436,436,436,436,436,436,436,401,295,55,55,55,55,65,121,141,141,141,141,141,141
102,102,102,102,100,99,99,99,99,84,69,69,69,69,69,81,102,129,129,129,129,129,129,129,129,129,129,73,73,73,73,73,80,90,90,90,90,90,90
89,89,89,89,89,81,81,81,103,103,103,103,103,103,103,103,103,103,96,85,85,85,84,77,77,77,77,77,114,114,114,129,129,129,129,129,129,129,129
97,97,84,84,84,84,84,84,84,70,85,85,85,85,85,85,85,85,86,91,91,91,91,91,91,91,91,91,91,90,90,99,99,99,123,218,259,347,347
188,45,38,27,35,10,38,80,101,101,102,120,122,122,122,122,122,122,122,122,122,122,132,132,132,132,132,132,132,132,132,132,122,122,119,119,119,119,119
84,88,93,93,93,93,93,93,103,103,103,103,103,103,103,103,103,103,65,65,65,65,65,67,67,72,72,72,72,72,89,89,89,89,89,89,89,89,89
68,68,64,60,81,81,81,81,81,81,81,103,103,103,103,103,103,103,103,103,103,86,86,74,96,99,99,99,99,99,99,99,99,99,99,98,107,108,108
97,97,97,82,81,81,81,81,96,96,96,96,96,96,96,96,96,96,89,89,89,97,100,100,100,100,100,100,100,101,101,101,101,101,101,101,101,101,101
70,69,69,69,69,69,69,75,75,75,75,75,75,75,75,75,76,99,106,106,106,106,106,106,106,106,120,133,133,133,133,133,133,133,133,133,133,83,83
